gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000164096.12,C4orf3,-0.2798759639263153,NA,0.7795726685773132,3.600571457628511e-05,NA,NA,NA,1,1.0,1,0.7795726685773132,0.00946805232916655
ENSG00000197798.8,FAM118B,-0.27986338760006063,NA,0.7795823176450938,1.5094561812494272e-05,NA,NA,NA,2,2.0,2,0.3696308145664232,0.00646926083801971
ENSG00000198832.10,SELENOM,0.27984905082351075,NA,0.7795933174431953,9.549285288436705e-05,NA,NA,NA,2,2.0,2,0.6602994086280827,0.0384419593183754
ENSG00000112796.9,ENPP5,-0.2798465900062388,NA,0.7795952054936007,0.11784661601753574,NA,NA,NA,2,2.0,2,0.145221869600994,0.370343159174572
ENSG00000254333.1,NDST1-AS1,0.27984649651618504,NA,0.7795952772234276,0.27704224502987634,NA,NA,NA,2,2.0,2,0.7153828683258063,1.40329179408805
ENSG00000214087.8,ARL16,0.27981643049003246,NA,0.7796183453452876,0.7504425437593378,NA,NA,NA,3,3.0,3,0.5047638363490785,0.8345835895579499
ENSG00000080007.7,DDX43,-0.2794828712940216,NA,0.7798742812467838,0.047005776209496974,NA,NA,NA,1,1.0,1,0.7798742812467838,0.315144643749762
ENSG00000144736.13,SHQ1,-0.27943363785743713,NA,0.7799120594834513,0.004023983111968599,NA,NA,NA,1,1.0,1,0.7799120594834513,0.0966577469699971
ENSG00000023041.11,ZDHHC6,-0.2792547396550782,NA,0.7800493376116038,0.06802057955311655,NA,NA,NA,3,3.0,3,0.6602583239996671,0.475535900389096
ENSG00000205364.3,MT1M,0.2791803181171417,NA,0.7801064472454491,0.0003237508970463819,NA,NA,NA,1,1.0,1,0.7801064472454491,0.139383718290434
ENSG00000010072.15,SPRTN,-0.27901828594467026,NA,0.7802307916718236,0.03114525016017148,NA,NA,NA,2,2.0,2,0.22318649047909545,0.651523348971446
ENSG00000118369.12,USP35,0.27882495522499084,NA,0.780379162139579,0.012983616490633943,NA,NA,NA,1,1.0,1,0.780379162139579,0.18394946550000102
ENSG00000214530.8,STARD10,-0.27857273817062383,NA,0.7805727365841548,0.05447103043478169,NA,NA,NA,1,1.0,1,0.7805727365841548,0.34662825647667894
ENSG00000101246.19,ARFRP1,-0.27849406003952026,NA,0.7806331241644784,0.01235743435804707,NA,NA,NA,1,1.0,1,0.7806331241644784,0.171640982979936
ENSG00000197114.11,ZGPAT,-0.27849406003952026,NA,0.7806331241644784,0.0016130990224465008,NA,NA,NA,1,1.0,1,0.7806331241644784,0.0620136581609639
ENSG00000108061.11,SHOC2,-0.2783622831927457,NA,0.7807342694001168,0.0008207684043837025,NA,NA,NA,2,2.0,2,0.40996665190546877,0.106380449056741
ENSG00000133789.14,SWAP70,-0.2783592939376831,NA,0.7807365638439977,0.001920964990581985,NA,NA,NA,1,1.0,1,0.7807365638439977,0.12062000563466
ENSG00000013573.16,DDX11,0.27833601832389837,NA,0.7807544294271356,0.657653736113037,NA,NA,NA,1,2.0,2,0.7807544294271356,1.19897565262272
ENSG00000185532.15,PRKG1,0.2779349536063775,NA,0.7810622914705089,0.05295761624074187,NA,NA,NA,2,2.0,2,0.4986597543625567,0.329620769904047
ENSG00000053328.8,METTL24,0.27752614146071886,NA,0.7813761358515808,0.015122192978403929,NA,NA,NA,2,2.0,2,0.39326166421908204,0.315025997724019
ENSG00000152620.12,NADK2,0.27747767152087754,NA,0.7814133485032435,0.008558304550456104,NA,NA,NA,2,2.0,2,0.7877965824039261,0.10914040854008401
ENSG00000127914.16,AKAP9,0.27742123603820795,NA,0.7814566773072573,0.0015767894361049684,NA,NA,NA,1,1.0,1,0.7814566773072573,0.0587722504242896
ENSG00000198089.15,SFI1,0.27736894905565507,NA,0.7814968216717452,0.027072286334332965,NA,NA,NA,2,2.0,2,0.5721158487618913,0.19607454393094897
ENSG00000167535.7,CACNB3,0.2770160734653473,NA,0.7817677641003777,0.0015067567062119105,NA,NA,NA,1,1.0,1,0.7817677641003777,0.0580808583603986
ENSG00000221869.4,CEBPD,0.277014821767807,NA,0.7817687252170507,0.001563432120219511,NA,NA,NA,1,1.0,1,0.7817687252170507,0.14891429923716298
ENSG00000157870.14,FAM213B,-0.27670048330042324,NA,0.7820101007359819,0.041588285163302534,NA,NA,NA,2,2.0,2,0.7325452566890653,0.8362786494860079
ENSG00000203668.2,CHML,0.27646911271579655,NA,0.78218777995028,0.009173050296211769,NA,NA,NA,2,2.0,2,0.7619141611214223,0.151494670831865
